artist,song_title,mfccs_mean
Anju Panta,Ma Yesto Geet Gaunchhu-Duet,"[-273.0303039550781, 105.844482421875, -74.28572845458984, 30.01953887939453, -24.729660034179688, 9.397701263427734, -29.89405632019043, -19.873146057128906, -2.002007484436035, -40.682682037353516, -6.520004749298096, -23.139789581298828, -6.708818435668945]"
Astha Tamang-Maskey,Harek Saas Sita,"[-346.18212890625, 107.24017333984375, -73.74927520751953, 16.5637149810791, 5.195312023162842, -0.2079324573278427, -28.58935546875, -7.693456649780273, -13.81941032409668, -31.80949592590332, 8.166788101196289, -17.333229064941406, -14.141042709350586]"
Astha Tamang-Maskey,Khaali,"[-301.30523681640625, 105.83076477050781, -88.6977767944336, 8.917917251586914, -9.777241706848145, -7.7826690673828125, -30.80841827392578, 1.2232688665390015, -9.614871978759766, -45.77956008911133, 1.80665123462677, -25.55071449279785, -19.55661964416504]"
Astha Tamang-Maskey,Khula Aakash,"[-334.0514221191406, 78.25299072265625, -95.88782501220703, -10.307600975036621, -23.353736877441406, -4.048712253570557, -37.0608024597168, -7.074789047241211, -13.278592109680176, -36.73273849487305, 13.760542869567871, -30.1816349029541, -21.166791915893555]"
Astha Tamang-Maskey,Muskuraye,"[-347.8294372558594, 69.6785659790039, -76.84375, 40.91373825073242, -28.243236541748047, -8.303053855895996, -47.82404327392578, -13.86926555633545, -13.666668891906738, -42.98529052734375, 21.54587173461914, -29.45966339111328, -16.42714500427246]"
Astha Tamang-Maskey,Sa Re Ga Ma Pa,"[-352.3551330566406, 77.84719848632812, -53.632781982421875, 32.214115142822266, -20.98204803466797, -10.580455780029297, -29.43276023864746, -7.918774604797363, -14.954841613769531, -38.46947479248047, 10.934320449829102, -22.744869232177734, -17.229185104370117]"
Astha Tamang-Maskey,Sabai Thikai Huncha,"[-270.68499755859375, 59.507633209228516, -99.53369903564453, 32.77726745605469, -37.25691223144531, -3.1412339210510254, -36.80833053588867, -21.188034057617188, -3.3506174087524414, -36.891357421875, 14.558971405029297, -20.97796058654785, -17.517929077148438]"
Bhakta Raj Acharya,Tana Mann Bachanle,"[-282.05511474609375, 155.90731811523438, -92.85193634033203, 7.978888034820557, 55.69723892211914, 1.3569999933242798, -20.101659774780273, -22.20999526977539, -5.269758701324463, -14.072460174560547, -29.328584671020508, -9.208386421203613, -12.886494636535645]"
Bipul Chettri,Aashish,"[-312.80596923828125, 103.80874633789062, -30.867149353027344, 38.94219207763672, -17.004297256469727, -3.3958323001861572, 2.84153413772583, -1.8181318044662476, -5.500096321105957, -21.356918334960938, -2.3242135047912598, -21.86522102355957, -6.011340618133545]"
Bipul Chettri,Asaar,"[-370.2059631347656, 116.0638427734375, -53.776615142822266, 31.659290313720703, 20.107040405273438, -3.2858011722564697, -13.405076026916504, -0.9002033472061157, -8.263456344604492, -18.455400466918945, -6.909505844116211, -29.964035034179688, -10.144116401672363]"
Bipul Chettri,Deorali Darah,"[-356.69537353515625, 113.42244720458984, -28.215686798095703, 24.1652889251709, -17.432079315185547, 2.7326667308807373, -7.1523871421813965, -10.968968391418457, -5.758013725280762, -17.966779708862305, -4.625889778137207, -22.546701431274414, -3.9903857707977295]"
